Counties,2020-03-21
Fulton,99
Bartow,56
Cobb,50
Dougherty,47
DeKalb,41
Gwinnett,23
Cherokee,17
Carroll,14
Lee,14
Clayton,13
Richmond ,10
Clarke,9
Fayette,9
Hall,9
Coweta,8
Floyd,8
Henry,7
Lowndes,7
Chatham,4
Douglas,4
Forsyth,4
Gordon,4
Newton,4
Paulding,4
Polk,4
Troup,4
Columbia,3
Baldwin,2
Early,2
Glynn,2
Laurens,2
Muscogee,2
Peach,2
Pickens,2
Rockdale,2
Spalding,2
Sumter,2
Terrell,2
Tift,2
Worth,2
Barrow,1
Bibb,1
Charlton,1
Dawson,1
Effingham,1
Heard,1
Houston,1
Lamar,1
Lincoln,1
Lumpkin,1
Miller,1
Monroe,1
Oconee,1
Randolph,1
Turner,1
Whitfield,1
Unknown,37
