Counties,Cases_2020-03-16
Fulton,27
Cobb,22
Dekalb,10
Bartow,9
Cherokee,7
Dougherty,6
Fayette,5
Clayton,5
Gwinnett,5
Floyd,4
Clarke,3
Lowndes,3
Gordon ,2
Coweta ,2
Lee,2
Henry ,2
Troup,1
Hall,1
Polk,1
Paulding,1
Charlton,1
Newton,1
Forsyth,1
