Counties,Cases_2020-03-19
Fulton,66
Cobb,37
Bartow ,26
DeKalb,22
Dougherty,20
Cherokee,16
Gwinnett,12
Fayette,9
Clarke,8
Lowndes,6
Floyd,6
Clayton,6
Hall,5
Gordon,4
Lee,3
Coweta,3
Paulding,3
Newton,3
Forsyth,3
Henry,3
Early,2
Glynn,2
Laurens,2
Richmond,2
Troup,2
Rockdale,1
Houston,1
Charlton,1
Whitfield,1
Polk,1
Columbia,1
Barrow,1
Bibb,1
Peach,1
Muscogee,1
Unknown,6
