Counties,Cases_2020-03-18
Fulton,49
Cobb,28
Bartow ,19
DeKalb,18
Cherokee,9
Fayette,8
Gwinnett,7
Dougherty,7
Clayton,6
Floyd,6
Lowndes,5
Clarke,5
Gordon,3
Newton,3
Hall,3
Coweta,3
Paulding,3
Troup,2
Henry,2
Lee,2
Forsyth,2
Columbia,1
Houston,1
Richmond,1
Whitfield,1
Polk,1
Charlton,1
Barrow,1
