Counties,Cases_2020-03-21
Fulton,92
Bartow,56
Cobb,49
Dougherty,46
DeKalb,37
Gwinnett,23
Cherokee,17
Lee,14
Clayton,11
Clarke,10
Fayette,9
Richmond,9
Floyd,8
Carroll,7
Coweta,7
Lowndes,7
Hall,6
Henry,6
Newton,4
Forsyth,3
Gordon,3
Paulding,3
Polk,3
Troup,3
Baldwin,2
Chatham,2
Columbia,2
Early,2
Glynn,2
Laurens,2
Peach,2
Pickens,2
Spalding,2
Sumter,2
Terrell,2
Worth,2
Barrow,1
Bibb,1
Charlton,1
Dawson,1
Douglas,1
Effingham,1
Heard,1
Houston,1
Lamar,1
Lincoln ,1
Miller,1
Monroe,1
Muscogee,1
Oconee,1
Randolph,1
Rockdale,1
Tift,1
Turner,1
Whitfield,1
Unknown,31
