Counties,Cases_2020-03-17
Fulton,33
Cobb,25
Dekalb,15
Bartow,10
Gwinnett,7
Cherokee,7
Floyd,6
Dougherty,6
Fayette,5
Clayton,4
Lowndes,4
Clarke,3
Coweta,3
Gordon,2
Troup,2
Lee,2
Henry,2
Forsyth,1
Polk,1
Hall,1
Barrow ,1
Charlton,1
Columbia,1
Rockdale,1
Newton,1
Paulding,1
Richmond,1
